总价格,单价,地段,房屋户型,所在楼层,建筑面积,户型结构,装修情况
386.0,179535,"['东城', '地安门']",1室1厅1厨1卫,底层 ,21.5,暂无数据,精装
510.0,79725,"['东城', '左安门']",2室1厅1厨1卫,中楼层 ,63.97,平层,精装
575.0,98866,"['东城', '和平里']",2室1厅1厨1卫,顶层 ,58.16,平层,精装
398.0,69423,"['东城', '陶然亭']",2室1厅1厨1卫,中楼层 ,57.33,平层,简装
378.0,66927,"['东城', '永定门']",2室1厅1厨1卫,高楼层 ,56.48,平层,精装
756.0,93472,"['东城', '东花市']",2室1厅1厨1卫,高楼层 ,80.88,平层,简装
625.0,130891,"['东城', '和平里']",1室1厅1厨1卫,高楼层 ,47.75,平层,精装
598.0,97969,"['东城', '和平里']",3室1厅1厨1卫,顶层 ,61.04,平层,精装
682.0,77124,"['东城', '天坛']",2室1厅1厨2卫,中楼层 ,88.43,复式,精装
470.0,102308,"['东城', '工体']",1室0厅1厨1卫,低楼层 ,45.94,平层,精装
726.0,117839,"['东城', '安定门']",2室1厅1厨1卫,高楼层 ,61.61,平层,简装
585.0,108838,"['东城', '安贞']",2室1厅1厨1卫,低楼层 ,53.75,平层,简装
1280.0,119504,"['东城', '东花市']",2室2厅1厨2卫,高楼层 ,107.11,平层,精装
700.0,90405,"['东城', '东花市']",2室1厅1厨1卫,低楼层 ,77.43,平层,简装
880.0,130120,"['东城', '朝阳门内']",2室1厅1厨1卫,中楼层 ,67.63,平层,精装
628.0,97652,"['东城', '东直门']",2室1厅1厨1卫,高楼层 ,64.31,平层,简装
590.0,94521,"['东城', '左安门']",2室1厅1厨2卫,中楼层 ,62.42,平层,简装
460.0,109603,"['东城', '建国门内']",1室1厅1厨1卫,高楼层 ,41.97,平层,简装
459.0,79509,"['东城', '左安门']",2室1厅1厨1卫,低楼层 ,57.73,平层,精装
428.0,118856,"['东城', '东花市']",1室1厅1厨1卫,高楼层 ,36.01,平层,精装
575.0,95199,"['东城', '广渠门']",2室1厅1厨1卫,中楼层 ,60.4,平层,精装
366.0,131750,"['东城', '崇文门']",1室1厅1厨1卫,低楼层 ,27.78,平层,精装
620.0,108449,"['东城', '工体']",2室1厅1厨1卫,中楼层 ,57.17,平层,精装
865.0,126204,"['东城', '朝阳门内']",2室1厅1厨1卫,高楼层 ,68.54,平层,简装
555.0,109446,"['东城', '朝阳门内']",2室1厅1厨1卫,顶层 ,50.71,平层,精装
730.0,104376,"['东城', '建国门内']",3室1厅1厨1卫,中楼层 ,69.94,平层,简装
1099.0,92478,"['东城', '永定门']",2室2厅1厨2卫,高楼层 ,118.84,平层,精装
999.0,119142,"['东城', '安定门']",4室1厅1厨1卫,中楼层 ,83.85,平层,精装
1166.0,161541,"['东城', '交道口']",2室1厅1厨1卫,中楼层 ,72.18,平层,简装
470.0,98040,"['东城', '工体']",1室0厅1厨1卫,高楼层 ,47.94,暂无数据,精装
215.0,35051,"['东城', '朝阳门内']",2房间1卫,底层 ,61.34,复式,精装
388.0,88283,"['东城', '永定门']",1室1厅1厨1卫,中楼层 ,43.95,暂无数据,其他
1479.0,110978,"['东城', '东花市']",3室2厅1厨2卫,低楼层 ,133.27,平层,精装
1580.0,131931,"['东城', '地安门']",3室1厅1厨2卫,中楼层 ,119.76,平层,精装
